autor_data	autor_nome	autor_endereco	autor_titulo	autor_comentario	autor_viagem
8-10-2019	PETROALDO N	6 CONTRIBUIÇÕES	PASSEIO ROMÂNTICO	É UMA PRAIA ONDE VC TEM AO MESMO TEMPO A NATUREZA EXUBERANTE DO MAR E A ARQUITETURA DE CONCRETO DOS PRÉDIOS NA ORLA DA PRAIA, COM RESTAURANTES E OS LOCAIS MAIS BADALADOS DA CIDADE. A ÚNICA COISA TRISTE É VER O ABANDONO DA PONTE DOS INGLÊSES.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-10-2019	BIA PP	BELÉM, PA	RAZOÁVEL	VISUAL ATÉ BONITO, MAS IMPROPRIA PRA BANHO. CALÇADÃO E BOM PRA CAMINHADA. A FEIRINHA ATUALMENTE ESTÁ LOCALIZADO LÁ A NOITE TEMPORARIAMENTE QUASE PERTO DO BAR BOTECO DA PRAIA. NÃO É UMA PRAIA BACANA PRA PEGAR SOL. ACHEI UM POUCO DESERTA DE DIAS NO FINAL DELA A FREQUÊNCIA NÃO É DAS MELHORES.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-10-2019	ELISANGELA F	2 CONTRIBUIÇÕES	PRAIA DE.IRACEMA	PRAIA MUITO LINDA E LIMPA, ÓTIMOS KIOSKES E RESTAURANTES AOS REDORES, RECOMENDO A FEIRINHA A NOITE BEIRA MAR, ÓTIMAS OPÇÕES  DE PRESENTE  E LEMBRANCINHAS	PRAIA DE IRACEMA - FORTALEZA (CE)
6-10-2019	JEFFERSON T.	16 CONTRIBUIÇÕES	OTIMO PARA CAMINHADA	A PRAIA DE IRACEMA TEM 1 CALCADÃO MUITO BOM PARA CAMINHAR, TEM A PONTE DOS INGLESES TAMBÉM QUE É MUITO LINDO VER O PÔR DO SOL NELA, POSSUEM DIVERSAS OPCOES DE COCO, CHURROS E A FEIRINHA DE ARTESANATO QUE É FANTASTICA.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-10-2019	SERGIO BRANDEMB... C	TAUBATÉ, SP	PRAIA DE IRACEMA	LINDA PRAIA COM UM VISUAL LINDO OTIMO PARA CAMINHADAS E ANDAR DE BICICLETA NAO EH MUITO BOA OPÇAO PARA BANHOS TEM UMA INFRAESTRURA MUITO BOA	PRAIA DE IRACEMA - FORTALEZA (CE)
5-10-2019	SIMONNEONNO	42 CONTRIBUIÇÕES	SIMPLESMENTE LINDA!!!	UMA PRAIA BELÍSSIMA NO CENTRO DE FORTALEZA, COM UM CALÇADÃO OTIMO PARA A PRÁTICA DE CAMINHADA OU OUTRO TIPO  DE LAZER COMO PATINS, BIKE, CORRIDA ETC. UM LOCAL PARA APRECIAR O POR DO SOL E TAMBÉM TOMAR BANHO DE MAR. AMEI	PRAIA DE IRACEMA - FORTALEZA (CE)
3-10-2019	GAIDOZ	SANTO ANDRÉ, SP	PRAIA ACESSÍVEL Á CADEIRANTES	A PRAIA DE IRACEMA É UMAS DAS PRINCIPAIS PRAIAS DE FORTALEZA, UMA ORLA COM MUITAS PEDRAS E ALGUNS ESPAÇOS BONS PARA BANHOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
2-10-2019	RENATO_PAES86	SÃO PAULO, SP	MUITO BOA	A PRAIA DE IRACEMA NÃO É DAS MELHORES OPÇÕES PARA BANHO EM FORTALEZA, MAS O VISUAL É MUITO BONITO E ÓTIMO PARA CAMINHAR NO CALÇADÃO.	PRAIA DE IRACEMA - FORTALEZA (CE)
29-09-2019	CARRERAS G	PORTO ALEGRE, RS	BOA PARA CAMINHADA	APESAR DA REFORMA NA ORLA,TEM UMA ÁREA MUITO GOSTOSA PARA CAMINHADA , FEIRINHA DE ARTESANATO E AGUA DE COCO POR R$2	PRAIA DE IRACEMA - FORTALEZA (CE)
28-09-2019	AMANDA M	RIO DE JANEIRO, RJ	PRINCIPAL LOCALIZAÇÃO	A PRAIA DE IRACEMA É A MELHOR LOCALIZAÇÃO, É ONDE FICA A FEIRINHA, QUE VOCÊ PODE COMPRAR VARIAS COISINHAS COMO SAÍDAS DE PRAIA, BIQUÍNIS, CASTANHAS, PIMENTAS E LEMBRANCINHAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
27-09-2019	MARY C	SÃO PAULO, SP	PASSEIO	PRAIA IMPRÓPRIA PARA BANHO, MAS EXISTEM DIVERSOS COMÉRCIOS NA BEIRA ONDE É POSSÍVEL CAMINHAR E COMPRAR AQUELA LEMBRANCINHA QUE NÃO PODE FALTAR.	PRAIA DE IRACEMA - FORTALEZA (CE)
26-09-2019	LEONARDO GONÇALVES	FORTALEZA, CE	PRAIA DE IRACEMA	LOCAL COM OPÇÕES DE RESTAURANTES NO CALÇADÃO E NAS REDONDEZAS, CARNES VERMELHAS E FRUTOS DO MAR, BEBIDAS DESTILADAS, DRINKS, CERVEJA E CHOPP.	PRAIA DE IRACEMA - FORTALEZA (CE)
25-09-2019	ALE BRUSQUI	VILA VELHA, ES	TURISTANDO FORTALEZA!	TURISTANDO EM FORTALEZA !	PRAIA DE IRACEMA - FORTALEZA (CE)
21-09-2019	THIAGOSOUZALINS	SALVADOR, BA	BOM	BEM BACANA PARA FAZER UMA CAMINHADA TANTO DE DIA QUANTO DE NOITE. MOVIMENTADA O LOCAL. NÃO CHEGUEI A TOMAR UM BANHO NÃO	PRAIA DE IRACEMA - FORTALEZA (CE)
19-09-2019	LETICIA S	BRUXELAS, BÉLGICA	LUGAR LINDO	ÓTIMA PRAIA, FICAMOS POUCO TEMPO NA CIDADE MAS VALEU MUITO A PENA, O LUGAR E LINDO E SE SOUBER APROVEITA DA P CONHECE VÁRIOS LUGARES	PRAIA DE IRACEMA - FORTALEZA (CE)
18-09-2019	ROMARIO	SÃO JOSÉ DOS CAMPOS, SP	ACONCHEGANTE	BOA PRAIA COM UMA ORLA MARAVILHOSA PARA FAZER ATIVIDADES FÍSICAS E SE DESLUMBRAR AO ASSISTIR O POR DO SOL A BEIRA MAR!	PRAIA DE IRACEMA - FORTALEZA (CE)
18-09-2019	THIAGOEVIVIANY F	SÃO PAULO, SP	FALTA ESTRUTURA	É PRAIA PRA LEVAR TUDO. CADEIRA, COMIDA E BEBIDA. O BOM É QUE PELO MENOS É VAZIA E MAIS LIMPA. MELHOR IR NA DO FUTURO.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-09-2019	OCIAN	4 CONTRIBUIÇÕES	LUGAR EXCELENTE , SEGURO , E COM PREÇOS MUITO BONS, PRINCIPALMENTE NOS QUIOSQUES DAS PRAIAS	EXCELENTE, LUGAR PARA IR CONHECER  E SE APAIXONAR.LUGAR MUITO TRANQUILO , BOM PARA CURTIR A NOITE E MUITO SEGURO TAMBÉM.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-09-2019	DIEGOPAULA	ARACAJU, SE	BOA ORLA	A ORLA DE FORTALEZA É BASTANTE BONITA, BASTANTE MOVIMENTADA E SEGURA.	PRAIA DE IRACEMA - FORTALEZA (CE)
15-09-2019	LEONARDO VIEIRA	TAQUARITINGA, SP	MARAVILHOSA	QUE ORLA INCRÍVEL! AS PRAIAS DE FORTALEZA SÃO BELAS E BEM CUIDADAS. TIREI FOTOS MARAVILHOSAS DESSE LUGAR	PRAIA DE IRACEMA - FORTALEZA (CE)
12-09-2019	MARCO E MARCELA	FLORIANÓPOLIS, SC	FALTA ESTRUTURA	ESTOU HOSPEDADA NA PRAIA DO MEIRELES E FUI CAMINHAR NO CALÇADAO DE IRACEMA PARA CONHECER A PRAIA.	PRAIA DE IRACEMA - FORTALEZA (CE)
11-09-2019	RODRIGO P	4 CONTRIBUIÇÕES	ORLA DE FORTALEZA	LINDA PRAIA, LINDO CALÇADÃO, UMA PENA A AVENIDA BEIRA MAR ESTAR PASSANDO POR UMA REFORMA BEM PASSADA. DEIXANDO VÁRIOS PONTOS DA AVENIDA BEIRA MAR PRECÁRIOS. MAIS É UM MAL QUE VIRÁ PARA O BEM FUTURO. A FEIRINHA É MUITO BACANA VALE A PENA CONHECER. UM PONTO NEGATIVO QUE ME AFETOU BASTANTE É A QUANTIDADE DE PESSOAS PEDINDO ESMOLAS A BEIRA DA AVENIDA BEIRA MAR, SEM LEVAR EM CONSIDERAÇÃO QUE ELES NÃO ACEITAM O NÃO COMO RESPOSTA E FICAM TE PERSEGUINDO.	PRAIA DE IRACEMA - FORTALEZA (CE)
10-09-2019	FALEIRO2019	CANOAS, RS	LINDA	ESTÁ MUITO  LINDA A PRAIA E NESTA ÉPOCA DO ANO MUITA GENTE   RECOMENDO.	PRAIA DE IRACEMA - FORTALEZA (CE)
8-09-2019	_LUISSV154	RIO DE JANEIRO, RJ	BOA CAMINHADA.	TEM UMA BELA  VISTA E SEMPRE  AO FINAL  DE  TARDE , QUEM  SE HOSPEDA NO IATE PLAZA OU  ALI PRÓXIMO  TEM A FELICIDADE  DE ASSISTIR AO PÔR DO SOL. O CALÇADÃO ESTÁ  EM OBRAS  PARA MELHORAR  A INFRAESTRUTURA  DA FEIRA  BEIRA MAR, QUANDO  CONCLUIR IRÁ FICAR  MELHOR  AINDA. PONTO POSITIVO  BEM POLICIADA A NOITE TODA.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-09-2019	VANJA C	BELO HORIZONTE, MG	PRAIA	MUITO MOVIMENTADA! TODA A AVENIDA BEIRA MAR ESTA EM OBRAS ( ESGOTO) O QUE É OTIMO MAS PREJUDICA O TURISMO. A PREVISÃO PARA O FIM E MEADOS DE 2020!	PRAIA DE IRACEMA - FORTALEZA (CE)
5-09-2019	GUEDES MARIA	5 CONTRIBUIÇÕES	PASSEIO DOS SONHOS	FAZIA ALGUNS ANOS QUE EU NÃO IA LÁ. FIQUEI ENCANTADA. GRANDE MELHORIA. SENTI SEGURANÇA AO ANDAR PELO CALÇADÃO. FICA PERTO DE TUDO!	PRAIA DE IRACEMA - FORTALEZA (CE)
2-09-2019	ZENO	JERICOACOARA, CE	AMOR A VIDA!!!	ADORAMOS CONHECER ESTE BELO ESTADO CE,E ESTÁS MARAVILHAS PRAÍ E PRINCIPALMENTE O CARINHO DO POVO CEARENSE, OBRIGADO!!	PRAIA DE IRACEMA - FORTALEZA (CE)
2-09-2019	LUCIANA C	2 CONTRIBUIÇÕES	PASSEIO	PRAIA LINDA E A FEIRINHA MARAVILHOSA PARA COMPRAS. ESTAMOS NA PRAIA DE MEIRELES A 3 DIAS E NESSES 3 DIAS FOMOS A PÉ ATÉ A FEIRINHA. É UM PASSEIO MUITO GOSTOSO. ESTOU COM MINHA FILHA E SOBRINHA ADOLESCENTES QUE ESTÃO AMANDO O PASSEIO.	PRAIA DE IRACEMA - FORTALEZA (CE)
1-09-2019	FABIANE540	CASTRO, PR	PÔR DO SOL LINDO!!!	MUITO GOSTOSA DE PASSEAR À NOITE, E O PÔR DO SOL É MARAVILHOSO!!!!	PRAIA DE IRACEMA - FORTALEZA (CE)
31-08-2019	RANULFO	BRASÍLIA, DF	IRACEMA	PRAIA EM REFORMA E POLUÍDA A VISTA E LINDA EM DETERMINADO HORÁRIO É POSSÍVEL GOLFINHO NADANDO NA REGIÃO.	PRAIA DE IRACEMA - FORTALEZA (CE)
30-08-2019	KLEBER_IAPEQUINI	EMBU DAS ARTES, SP	TEM PRAIAS MELHORES	PRAIA BEM INTERESSANTE, POIS EXISTE BOAS OPÇÕES PARA COMER, TIRAR FOTOS E UMA BOA SORVETERIA EM FRENTE A PRAÇA!!!	PRAIA DE IRACEMA - FORTALEZA (CE)
27-08-2019	SILASCOMESSE	LONDRINA, PR	MELHOR POR DO SOL	IRACEMA É REALMENTE UM LUGAR INCRÍVEL. POVO ANIMADO,UMA PRAIA BEM ORGANIZADA, MUITO FREQUENTADA A NOITE, COM BASTANTE POLICIAMENTO. DE LÁ É POSSÍVEL VER UM LINDO POR DO SOL. VÁRIOS VENDEDORES DE COCO, ÁGUA, AÇAÍ, ENFIM... UMA PRAIA COM ÓTIMO ACESSO ÀS OUTRAS PRAIAS, AO CENTRO CULTURAL DRAGÃO DO MAR E AO CENTRO. ESTRATÉGICA PARA TURISTAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
26-08-2019	VALERIA RAMIREZ	ITU, SP	PIER DE IRACEMA	FIQUEI MUITO TRISTE , PARECE ESTAR ABANDONADO, TUDO CAINDO OS PEDAÇOS,  MAS TENHO QUE DIZER QUE APESAR DAS CONDIÇÕES QUE SE ENCONTRA O PÍER DE IRACEMA TEM MUITA SEGURANÇA.	PRAIA DE IRACEMA - FORTALEZA (CE)
26-08-2019	LUANA V	10 CONTRIBUIÇÕES	HÁ PRAIAS MELHORES	NÃO CURTI MUITO ESSA PRAIA, DIA QUE FUI ACHEI MEIO FEDIDO O LOCAL, SÓ É MASSA PRA IR NA PONTE DOS INGLESES, ANDAR PELO CALÇADÃO, PORQUE PRA BANHO, TEM PRAIAS MUITO MELHORES !	PRAIA DE IRACEMA - FORTALEZA (CE)
22-08-2019	ANDRESSA F	9 CONTRIBUIÇÕES	ESTÁ EM OBRAS!!	NA VERDADE NÃO E UM PONTO NEGATIVO EM SI, PORÉM NO MOMENTO ELA ESTÁ EM OBRAS E O NOSSO HOTEL FICA BEM DE FRENTE, ENTÃO A FEIRINHA QUE FICAVA ENFRENTE AO HOTEL PRAIANO FOI DESLOCADA PARA O ATERRO DE IRACEMA!	PRAIA DE IRACEMA - FORTALEZA (CE)
21-08-2019	AVELINOM	PARIS, FRANÇA	SUJA E SEM RESTAURANTE À BEIRA-MAR	CAMINHANDO DESDE BEIRA-MAR COM INTENÇÃO DE ENCONTRAR RESTAURANTES FACE AO MAR... QUE DECEPÇÃO, PRAIA SUJA, NADA DE RESTAURANTES. ÚNICO COMÉRCIO SÃO AS BANQUIMHQS SE COCOS E CERVEJAS... NÃO RECOMENDO	PRAIA DE IRACEMA - FORTALEZA (CE)
18-08-2019	RAFAEL M	BELÉM, PA	TEM QUE MELHORAR	PASSA UM POUCO DE INSEGURANÇA (TANTO O CALÇADÃO COMO AS PONTES) INFELIZMENTE. PRECISA DE REVITALIZAÇÃO. MAS DÁ PRA APROVEITAR. TEM MUITOS ESTABELECIMENTOS NA PRAIA E NAS PROXIMIDADES. CARRINHOS NA PRAIAS FAZEM DRINKS À PREÇOS MÓDICOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-08-2019	ELENICE M	PERUÍBE, SP	PASSEIO	LUGAR ÓTIMO PARA CAMINHAR. VARIEDADE DE CARRINHOS COM ALIMENTAÇÃO E BEBIDAS.  PRAIA BONITA. FIZEMOS ÓTIMAS CAMINHADAS A NOITE NA ORLA. MUITO GOSTOSO.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-08-2019	ROSAKELLER	FORTALEZA, BRASIL	BARZINHO AO AR LIVRE	ESTIVEMOS NO MONETÁRIA E FOI MUITO LEGAL, O GARÇOM TIPICAMENTE CEARENSE BEM HUMORADO E NOS FEZ RIR MUITO E MUITO RÁPIDO O ATENDIMENTO.	PRAIA DE IRACEMA - FORTALEZA (CE)
10-08-2019	GEOVANNA	NATAL, RN	ÓTIMO	JÁ FAZEM ANOS QUE VISITEI PELA PRIMEIRA VEZ. ALGUM BICHO NAS PEDRAS LEVOU TODA NOSSA COMIDA ENQUANTO NOS DISTRAÍMOS COM A PAISAGEM KKKKK	PRAIA DE IRACEMA - FORTALEZA (CE)
8-08-2019	MARIA K	MACAPÁ, AP	A FRENTE DA CIDADE	MARAVILHOSA, PRECISA VISITAR, A VISTA DA PRAIA DE IRACEMA,PORÉM PODEM ENCONTRAR ALGUNS FUMANTES, ALGUMAS PESSOAS DIZEM NÃO SER PRÓPRIO PRA BANHO.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-08-2019	PATRICIA A	9 CONTRIBUIÇÕES	CONSERVAÇÃO RAZUAVEL	ÓTIMO LUGAR PARA PESCAR. BEM ILUMINADO. PRECISANDO DE MANUTENÇÃO.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-08-2019	STEFANIE	SÃO PAULO, SP	NÃO É DAS MELHORES MAS É BOA	DÁ PRA CURTIR O MAR, O POR DO SOL, UMA CERVEJA, MAS É BEM URBANA E BASTANTE CHEIA. NÃO DIFERE MUITO DAS PRAIAS DE SÃO PAULO NESSE SENTIDO. PRA QUEM QUER SAIR DO COMUM, TEM OUTRAS PRAIAS MAIS BACANAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-08-2019	LOUISE	RIO DE JANEIRO, RJ	BACANA POR DO SOL	BOM LUGAR PARA ASSISTIR AO POR DO SOL NO FINAL DA TARDE COM UMA ÁGUA DE COCO DE 2 REAIS. SÓ CUIDADO COM PERTENCES CAROS E CELULARES, MELHOR DEIXAR GUARDADO.	PRAIA DE IRACEMA - FORTALEZA (CE)
6-08-2019	DIANA	IPOJUCA, PE	MUITO CUIDADO!	É UM BELO LOCAL PARA APRECIAR O PÔR DO SOL, SEM DÚVIDA. A VISTA É LINDA!	PRAIA DE IRACEMA - FORTALEZA (CE)
6-08-2019	DENISEL994	PARANAGUÁ, PR	PRAIA DE IRACEMA	O MELHOR PÔR DO SOL DO NORDESTE. POVO RECEPTIVO, PRAIA BELÍSSIMA, VOLTAREI EM BREVE. VÁRIOS ATRATIVOS TURÍSTICOS, BARES E RESTAURANTES, COM PREÇOS ACESSÍVEIS.	PRAIA DE IRACEMA - FORTALEZA (CE)
5-08-2019	FLAVIO S	SÃO PAULO, SP	LUGAR AGRADAVEL	PRAIA DE AGUAS CALMAS ( NA MAIOR PARTE DO TEMPO) VERDE E LINDA. BARRACAS COM OPÇÕES COM PREÇOS BONS. ACHO QUE FALTA UMA ATENÇÃO MAIOR DOS FREQUENTADORES E PREFEITURA PARA A LIMPEZA DA ÁREA, BEM SUJA.	PRAIA DE IRACEMA - FORTALEZA (CE)
4-08-2019	LULU2015	BRASÍLIA, DF	NÃO EXISTE MAIS COMO PRAIA	CONSERVA O TÍTULO DE PRAIA, AS HOJE É UM ATERRO, BEM DESERTA.  O MAR AVANÇOU E ACABOU COM O QUE UM DIA PODE TER SIDO UMA PRAIA.  O BAIRRO AO REDOR É ANTIGO E ESTÁ EM RUÍNAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
3-08-2019	LÍVIA FRANCO	JUIZ DE FORA, MG	ÓTIMO PASSEIO À BEIRA MAR	ÓTIMA PARA UM PASSEIO À TARDE E À NOITE NA BEIRA MAR... VC VAI ENCONTRAR TURISTAS E MORADORES LOCAIS, MUITO ARTESANATO, COMIDAS TÍPICAS, ARTISTAS RUA E O CLIMA ALEGRE DO CEARÁ. É DEMAIS!	PRAIA DE IRACEMA - FORTALEZA (CE)
2-08-2019	GABRIEL ROCHA	SÃO PAULO, SP	PRAIA LINDA!!	OBRIGAÇÃO IR ATÉ O FINAL DO PÍER! A ESTÁTUA DE IRACEMA TAMBÉM É BONITA! ACHO QUE QUEM PASSA POR FORTALEZA VALE A PENA FAZER UM ESFORCO PRA CONHECER	PRAIA DE IRACEMA - FORTALEZA (CE)
31-07-2019	JOSÉ HENRIQUE	RIO DE JANEIRO, RJ	ÓTIMA VISTA DA CIDADE	O PÍER É UM ÓTIMO LOCAL PARA SE TIRAR FOTOS COM A CIDADE DE FORTALEZA AO FUNDO, MAS RECOMENDA-SE CUIDADO PRO QUE A PESAR DO POLICIAMENTO NÃO É UM LUGAR TOTALMENTE SEGURO. FAÇA FOTOS RÁPIDAS E SIGA PARA OUTRAS ATRAÇÕES	PRAIA DE IRACEMA - FORTALEZA (CE)
29-07-2019	CAROLINA R	FORTALEZA, CE	PASSEAR	ADORO AR LIVRE TEM ATIVIDADES PARA TODAS AS IDADES PRINCIPALMENTE PARA ME Q AMO ANDA DE PATINS.  TEM BICICLETAS SQUETE PATINETE PARA CRIANÇAS E OUTRA S COISA .	PRAIA DE IRACEMA - FORTALEZA (CE)
26-07-2019	RODRIGO A	8 CONTRIBUIÇÕES	FÉRIAS	NO CENTRO DA CIDADE E LIMPA A PRAIA MAIS EU ESPECIALMENTE NÃO  ENTREI NESSA PRAIA MAS QUEM QUISER SUPER INDICO	PRAIA DE IRACEMA - FORTALEZA (CE)
25-07-2019	SOLANGE BROCK	CARAGUATATUBA, SP	ESPIGÃO DE RUI BARBOSA	PASSEAMOS PELA AVENIDA DA PRAIA DE IRACEMA E FICAMOS IMPRESSIONADOS COM A BELEZA DO LUGAR. INFELIZMENTE OS PIERS NA ORLA ESTAVAM PRECISANDO DE MANUTENÇÃO E MUITOS ESTAVAM PICHADOS POR VÂNDALOS. O PIER DOS PORTUGUÊS ESTAVA EM MANUTENÇÃO	PRAIA DE IRACEMA - FORTALEZA (CE)
23-07-2019	IRACEMA	BELO HORIZONTE, MG	UM OLHAR SOBRE AS PRINCIPAIS ESTÁTUAS DE IRACEMA QUE ETERNIZAM A PERSONAGEM NA CAPITAL CEARENSE.	A PRIMEIRA ESTÁTUA FOI ESCULPIDA PELO PERNAMBUCANO CORBINIANO LINS E INAUGURADA EM 24 DE JUNHO DE 1965. ELA RETRATA A ÍNDIA IRACEMA, SEU MARIDO SOARES MORENO, O FILHO MOACIR E O FIEL CÃO JAPI.	PRAIA DE IRACEMA - FORTALEZA (CE)
18-07-2019	@BERG.SARAIVA	BELÉM, PA	PRAIA CENTRAL DE FORTALEZA	ÓTIMA PRAIA, DE GRANDE EXTENSÃO. APROPRIADA PARA CAMINHAR, TOMAR BANHO E BEM MOVIMENTADA. TEM ALGUNS "ESPIGÕES" QUE FICAM BEM MAIS PRA DENTRO DO MAR, TENDO UMA VISTA MUITO BOA DO LUGAR.	PRAIA DE IRACEMA - FORTALEZA (CE)
17-07-2019	ANDRESSA C	14 CONTRIBUIÇÕES	PRAIA BOA	A PRAIA É BOA, MAS NÃO ÓTIMA, GOSTEI MAIS DA PRAIA DO FUTURO. FUI EM UMA BARRACA DE PRAIA COMER MAS TAMBÉM NÃO GOSTEI MUITO, POR ISSO O TRÊS NA AVALIAÇÃO.	PRAIA DE IRACEMA - FORTALEZA (CE)
16-07-2019	LUCIANA FÉLIX	CURITIBA, PR	PRAIA COM ESTRUTURA.	PRAIA COM ESTRUTURA MAS SEM CARA DE PRAIA. ATERRO MUITO GRANDE SEM VEGETAÇÃO. PRÉDIOS MUITO ALTOS, MAS O LOCAL É AGRADÁVEL E COM ESTRUTURA PARA ESPORTES NA ORLA.	PRAIA DE IRACEMA - FORTALEZA (CE)
15-07-2019	EVELIZEREIS	SAPUCAIA DO SUL, RS	LITORAL NORDESTINO..	LINDA PRAIA, COMO A MAIORIA DAS PRAIS NORDESTINAS..ÁGUA LIMPA,QUENTE E CALMA.IMPOSSÍVEL NÃO SE ENCANTAR.	PRAIA DE IRACEMA - FORTALEZA (CE)
14-07-2019	CARLOS R	24 CONTRIBUIÇÕES	EXCELENTE PRAIA	ESTIVE EM JULHO COM ESPOSA. PRAIA TRANQUILA, INFRAESTRUTURA BOA,BEM MOVIMENTADA E SEGURA, VÁRIOS BARES E RESTAURANTES	PRAIA DE IRACEMA - FORTALEZA (CE)
13-07-2019	LEANDRO ALBINO	SÃO PAULO, SP	ÓTIMA	A PRAIA TEM É BEM TRANQUILA E AGRADÁVEL. O MAR É DIVIDIDO EM DUAS PRAIAS PELO ESPIGÃO. EM UM LADO HÁ UMA PRAIA SEM ONDAS E CALMA E NO OUTRO HÁ MAIS ONDAS. SENTI FALTA DE UMA DUCHA PRA USAR! PODERIA MELHORAR ESSE PEQUENO DETALHE E SERIA PERFEITA.	PRAIA DE IRACEMA - FORTALEZA (CE)
12-07-2019	CARLOS G	BRASÍLIA, DF	FERIAD	EU ADOREI ESSA PRAIA FICA BEM NO CENTRO PERTO DE TUDO, A NOITE TEM UMA FEIRINHA PRA QUEM QUISER COMPRAR PRODUTOS ARTESANAIS.	PRAIA DE IRACEMA - FORTALEZA (CE)
10-07-2019	GLAUCIA D	PAULÍNIA, SP	PRAIA DE CENTRO. ESCOLHA O LOCAL MELHOR PRA BANHO.	COMO TODA PRAIA DE CENTRO, ALGUNS PONTOS A AREIA É BEM SUJA. PARA BANHO ESCOLHA A PARTE DEPOIS DO ATERRO . PRAIA DOS MEIRELES, MAS QUE É CONTINUAÇÃO DA IRACEMA .	PRAIA DE IRACEMA - FORTALEZA (CE)
9-07-2019	FABIOLAISABELA	SÃO JOSÉ DO RIO PRETO, SP	PAUSA PRA FOTO	LOCAL BOM PRA TIRAR FOTO. É UMA VEZ SÓ QUE JÁ TÁ REGISTRADO SUA IDA A ESTA LUGAR. TEM UM LETREIRO COM A PALAVRA CEARÁ BEM CHAMATIVO.MAIS QUE A PRÓPRIA ESTÁTUA DA IRACEMA POBREZINHA.	PRAIA DE IRACEMA - FORTALEZA (CE)
8-07-2019	ANDRE.EDF	BRASÍLIA, DF	A ORLA É SHOW, MAS NÃO ARRISCARIA UM BANHO	A ORLA É MUITO POLICIADA, TEM VÁRIOS FEIRANTES, LOJAS, BARES E RESTAURANTES, PRÉDIOS BELÍSSIMOS. O PÔR DO SOL QUE SE PODE CONTEMPLAR NO LOCAL É MUITO BONITO MESMO. MAS A PRAIA NÃO PARECIA MUITO LIMPA NÃO, APESAR DE HAVER PESSOAS BANHANDO. VI PONTOS DE ESGOTO PRÓXIMO AO MAR, E MUITOS NAVIOS EM DIREÇÃO AO PORTO, O QUE COSTUMA GERAR MAIS LIXO NO MAR NESTES LOCAIS.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-07-2019	SIMONELM	ARACAJU, SE	LINDA ORLA	A PRAIA DE IRACEMA ESTÁ COM UMA LINDA ORLA, COM ÁREAS PARA EXERCÍCIOS FÍSICOS, CAMINHADAS E LAZER. ESPAÇOS PARA SHOWS, ETC.  VALE A PENA CONHECER.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-07-2019	CRIS_OLIVEIRASANTOS	SÃO PAULO, SP	VISTA, PASSEIO E QUIOSQUES	PRAIA BOA PARA PASSEAR, CURTIR A VISTA, IR NA FEIRINHA VER OS ARTESANATOS OU PARAR EM ALGUM QUIOSQUE. NÃO ENTREI NA ÁGUA DO MAR, MAS ME PARECIA SUJA.	PRAIA DE IRACEMA - FORTALEZA (CE)
4-07-2019	VERA MARIA SANT... S	IMBITUBA, SC	IRACEMA SHOW	PRAIA DE IRACEMA É IMPERDIVEL, PELA BELEZA, PROXIMIDADE DE VÁRIOS PONTOS TURISTICO, OTIMAS OPÇÕES DE BARES E RESTAURANTE PROXIMOS, FEIRINHA DE ARTESANATO. RECOMENDO VISITAR E CURTIR O LUGAR.	PRAIA DE IRACEMA - FORTALEZA (CE)
4-07-2019	SAMIRAMCRODRIGUES	1 CONTRIBUIÇÃO	DECADÊNCIA	INFELIZMENTE ESTÁ ABANDONADA... CONHECI O LOCAL EM 2001 E RETORNEI AGORA E ESTÁ TUDO MUITO PRECÁRIO POR LÁ... UMA PENA...	PRAIA DE IRACEMA - FORTALEZA (CE)
3-07-2019	PAULA	BRASÍLIA, DF	PRAIA BEM TRANQUILA, COM PÚBLICO MAIS FAMILIAR. NA ORLA TEM VÁRIAS OPÇÕES DE COMIDAS, FEIRAS E CAFÉS.	AMBIENTE AGRADÁVEL E TRANQUILO, COM MUITAS VARIEDADES E OPÇÕES PARA TODOS OS GOSTOS. COM DIVERSOS RESTAURANTES NA ORLA, BEM COMO FEIRAS, COM UMA VISTA MARAVILHOSA.	PRAIA DE IRACEMA - FORTALEZA (CE)
3-07-2019	ROBERTO MOURA	FORTALEZA, CE	LOCAL EXCELENTE PARA UM PASSEIO COM A FAMÍLIA.	ESTE LOCAL É DE BOM ALVITRE QUE SE CULTIVE UMA EXPERIÊNCIA DE LAZER E CULTURA, ALÉM DE UMA UMA VISÃO PRIVILEGIADA DA NATUREZA E DO LOCAL HISTÓRICO.	PRAIA DE IRACEMA - FORTALEZA (CE)
